我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　你这帖子我都不希看评论了，考虑的太多了，很政府辞令来自天涯社区客户端|举报|522楼|打赏|回复|评论|赞
　　我们应该向欧洲人学习保护自己的权力！上街游行集体抗议征收房产税！房子还没钱看呢，老出各个孬政策打压老百姓，真不让人活了！！来自天涯社区客户端|举报|523楼|打赏|回复|评论|赞
　　已经买房的也要交税么来自天涯社区客户端|举报|524楼|打赏|回复|评论|赞
　　看到这个帖子的回复后感叹，中国的愚民真是很多，类似于“海岛论剑”的这个人很可能是政府的托。　　　　　　　　税收的作用是增加财政收入，指望他降房价是痴心妄想，这点上最近连政府自己都已经承认了，另外按目前的体制你指望房产税取之于民用之于民是不可能的。　　　　　　　　其实房价高，懂行的一看就清楚了，我认识的搞房地产预结算的朋友告诉我，土地价格占房价的50-60%，各种税收占到10-20%，建筑成本占10-15%，说的简单点就是政府70%土地价格加税费，在刨去建筑成本，剩下是开发商的利润，房价涨了就利润多点，但多出的利润还要再交土地增值税给国家，实际上利润的终端在政府，但他们没有大力的建设廉租房，公款吃喝、公款旅游、公款用车的三公消费每年达到9000亿。　　　　　　　　土地拍差不多了，没有钱了于是想到了收物业税，但一查于法理不合，国外都是私有土地，中国都是70年的使用权，说白了老百姓就是个长期租客，可租金一次性付了，再收没道理啊，所以换个名字叫房产税，只要有房就收，至于说会控制征收范围的话其实也是骗人的，真的太穷了饭门都发愁，不交你能怎么样，杀了它？赶走？这会引起社会动乱的。都不行，所以会免掉部分人，但不要抱太大希望大多数人还是跑不了的，指望房价跌的人去冲个冷水澡醒醒吧，另外关于新闻说的什么房价大跌还是考虑真实行吧，我是没看到跌的迹象，就像他们说的CPI只涨了3点几，通胀还没有来到。　　==================================================================　　　　　　另外穷人光脚不怕穿鞋的，真耍无赖不叫估计也没办法，富人可以想法避税，炒房人可以增加房租，国家不敢大跌房价，不然银行就要坏账，最倒霉的是中产阶级，辛苦存钱多买套房子抵抗通胀，却被收了税，不过最终还是涨房租，越穷越倒霉举报|525楼|打赏|回复|评论|赞
　　房产税该来的迟早要来的。各级政府多一项收入，没有不乐意的。和房价无关。来自天涯社区客户端|举报|527楼|打赏|回复|评论|赞
　　最终希望此贴可以多唤醒一些愚民的智商，帖主是个头脑清醒的人，国人读了这么多年书还是那么傻　　　　　　　　不要指望征的钱可以取之于民用之于民，因为这是体制的原因，本来的目的就是没钱吃喝了多征点钱用，中国的财政支出从来就是模糊不清的，也不敢清，虽然征得的钱会用点在廉租房上，做做样子还是要的，但大多的钱还是会去向不清的举报|528楼|打赏|回复|评论|赞
　　作者：海岛论剑发表日期：2010-12-821:42:00　　　　唉，今天舌战群雄，终立不败之地，有点累了，暂且歇息了！明天见！　　------------------------------------------------------------------------　　我很纳闷为什么有这么多人和海岛论剑说话，甚至称之为“辩论”？请问他是正常人么，或者说他是人么？人家是拿钱发帖的公务猿，他说的连人话都算不上，可以这样厚颜无耻恬不知耻无视众人鄙视突破人类底线而照样犯贱的，大家还有兴趣和他说话？　　　　参见以前的“天之贱”，这俩都是近亲啊，一遇到房产税那是恨不得裸奔出房子立马吼出这个税有益千秋万代，比脑白金还能强身健体，据不完全统计贱字辈的人单独在天涯发帖拿钱都超过10万了。举报|529楼|打赏|回复|评论|赞
　　　　作者：雨过天阴　回复日期：2010-12-08　22:12:17　　　　　　　作者：海岛论剑发表日期：2010-12-821:42:00　　　　　　　　唉，今天舌战群雄，终立不败之地，有点累了，暂且歇息了！明天见！　　　　------------------------------------------------------------------------　　　　我很纳闷为什么有这么多人和海岛论剑说话，甚至称之为“辩论”？请问他是正常人么，或者说他是人么？人家是拿钱发帖的公务猿　　　　=========================================================　　　　哈哈，搞了半天原来是只猴子举报|530楼|打赏|回复|评论|赞
　　3举报|531楼|打赏|回复|评论|赞
　　我还真纳闷了，公务猿凭什么不交税啊？就因为他们用的是我们纳税人的钱吗？为何王法规定，王子与庶民同罪？我认为他们也该征税。尤其是那些官员税，按收入超标收，毕如你一年拿个二十万了，可是查出来你一年实际上有二百万，那么多出来的那部份就要征收了。最好还要查个水落石出，可是这样的机构有吗？能学国外吗？肯定某些人要跳出来说不符合中国国情了，那么征那么多苛捐杂税，就符合民意国情了？？举报|533楼|打赏|回复|评论|赞
　　mK举报|534楼|打赏|回复|评论|赞
　　脑残人太多，你们会悔得肠子都青掉。举报|535楼|打赏|回复|评论|赞
　　赞同楼主的关点。。只是中共太强了、一直给千千万万学生扑鸡血，快整成朝鲜了。死再多也翻不动中共啊，没办法嘛。。来自天涯社区客户端|举报|536楼|打赏|回复|评论|赞
　　由经济代价必将引出政治代价。中国是一种官本位的国家，行政力量大于一切，经济运行早就被政治权势与经济权势所绑架。与此相适应，权势者必定是财产的大量拥有者，越是富有的人，占有的房地产就越多，而这些富有者往往是官商一体。那么，我们不由问一句：这些人能成为物业税的纳税人么？税务机关敢于面对这个群体么？能做到法律面前人人平等么？在税法上可能可以把纳税人的权利和义务规定得很明确，但是在实际的征管工作中能做得到么？有可能出现的情况是：征税机关面对权势群体时将消积怠工，或者由这些群体出面找出一种折中的办法，从而能较好地偷逃税款。那么，物业税的总额将可能由各种方式转嫁给了普通民众。　　　　　　刚看到这一段很有道理！！！举报|537楼|打赏|回复|评论|赞
　　作者：雨过天阴　回复日期：2010-12-08　22:12:17　　　　　　　　　　　作者：海岛论剑发表日期：2010-12-821:42:00　　　　　　　　　　　　唉，今天舌战群雄，终立不败之地，有点累了，暂且歇息了！明天见！　　　　　　------------------------------------------------------------------------　　　　　　我很纳闷为什么有这么多人和海岛论剑说话，甚至称之为“辩论”？请问他是正常人么，或者说他是人么？人家是拿钱发帖的公务猿　　　　　　　　=========================================================　　　　　　　　　　哈哈，搞了半天原来是只猴子　　　　谁家的猴子跑出来了？　　　　　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子　　海岛论剑=猴子海岛论剑=猴子举报|538楼|打赏|回复|评论|赞
　　要我说，房产税跟商品房的涨跌没有直接的联系，房产税只是ZF的一个财政手段。要抑制房价还是在住房保障上做文章，买房的刚性需求少了，在房产交易中炒作的热点会少。我们给ZF纳税，真希望ZF实实在在的做些事情。举报|541楼|打赏|回复|评论|赞
"　　征税在任何朝代都是吃百姓,别幼稚认为“用之于民”　　举报|543楼|打赏|回复|评论|赞"
　　XX特色主义悲剧来自天涯社区客户端|举报|544楼|打赏|回复|评论|赞
　　输不输，我还不知道。高房价面前已经是输家。楼主是怕房产税吧？来自天涯社区客户端|举报|545楼|打赏|回复|评论|赞
　　　　作者：springtech　回复日期：2010-12-08　22:33:28　　　　　　　要我说，房产税跟商品房的涨跌没有直接的联系，房产税只是ZF的一个财政手段。要抑制房价还是在住房保障上做文章，买房的刚性需求少了，在房产交易中炒作的热点会少。我们给ZF纳税，真希望ZF实实在在的做些事情。　　　　　　==========================================================　　其实我以前也是理想主义者，但改革开放30年来的成果，民众分享的太少了，最近看到篇报道，中国的税收仅次于法国排到第二，但法国的福利是世界前十的，P民们还在为医疗保险发愁，工资上非洲有30个国家超过我国，我国福利好像是排在世界180几位还是120几位，看了忘记了　　所以指望用纳的税增加福利增加廉租房，指望不大举报|546楼|打赏|回复|评论|赞
　　怎么老有人拿中国和外国比税收？我ctm……人家什么环境？人家有法律…这里处处是李刚…人家有选举权…我们tm有什么？人家没有咱这么多公款吃喝吧？来自天涯社区客户端|举报|547楼|打赏|回复|评论|赞
　　怎么老有人拿中国和外国比税收？我ctm……人家什么环境？人家有法律…这里处处是李刚…人家有选举权…我们tm有什么？人家没有咱这么多公款吃喝吧？来自天涯社区客户端|举报|548楼|打赏|回复|评论|赞
　　杨过大侠说的太好了！！！来自天涯社区客户端|举报|549楼|打赏|回复|评论|赞
　　恩举报|550楼|打赏|回复|评论|赞
　　对老百姓没一个好的。来自天涯社区客户端|举报|551楼|打赏|回复|评论|赞
　　中国就是这样的杀比太多了，一群屁民却为政府加税叫好，脑残到什么程度了？你们这群猪，那群人把你们养肥了干嘛？难道当宠物？当然杀了你们吃你们的肉！你们都是甄板上的鱼肉了！叫嚣房产税的杀比醒醒吧！房产税就是他们吸血的工具，此阀门一开讲有无数的猪被宰杀！有喝不完的血吃不完的肉！当然不是你们这些屁民吃的，是谁吃，大家心里清楚！来自天涯社区客户端|举报|552楼|打赏|回复|评论|赞
　　支持房产税，首套自住免税。二套收税，三套及以上收重税来自天涯社区客户端|举报|553楼|打赏|回复|评论|赞
"　　我不赞成,为什麽要重复交税呢,我拿工资交了个人所得税,我用交了税的工资去买房,再交房税,政府你就别让企业发我们工资了,直接跟企业挂钩到发工资就拿去,然后发两馒头给我们不让我们饿死就好了,好为你们继续赚钱.多好啊！来自天涯社区客户端|举报|554楼|打赏|回复|评论|赞"
　　m来自天涯社区客户端|举报|555楼|打赏|回复|评论|赞
　　我没头发！租50年的地钱都交完了，还要替地主交地税。就像你pj还要替她养孩子是一样一样的。来自天涯社区客户端|举报|556楼|打赏|回复|评论|赞
　　有房的怕房贬值，无房的怕房升值。来自天涯社区客户端|举报|557楼|打赏|回复|评论|赞
　　玛丽隔壁，我不想骂人的。有些人实在太愚蠢了。虽然我现在不富有，没有几套房，但是难道穷人就要一辈子做穷人？我以后不会富啊。　　总要有个奔头，不要弄到最后全给档打工了。举报|558楼|打赏|回复|评论|赞
　　本来也不想发言，每天为了一口饭累的七死八活的，为了早日能有自己的一个家，辛勤的工作着，懒得争论这些但今天看了这么多人的帖子，我也想从我的角度谈谈这个问题。　　我只是想说ZF要征税，谁也拦不住，地卖完了，没有稳定收入了，自然要开始征新的税种，房地产税是最稳定的税收。现在没有征，我买不起房，只能租房。如果开征，我想无非就是这么几个结果，第一房价开始松动，甚至有下跌的势头，随着伟大的开发商不断的推出新盘，我想市场总有一天会在房产税的压迫下达到饱和。那么我就不用在梦里买到自己的房了。我绝不担心开发商不盖房，因为只要这个行业有利润，就有人不断的加入这个行业，获取利润，何况又是暴利行业。第二，正如某些专家啊，教授，资深人士说的那样，房地产税嫁接到金字塔最后一层，也就是我这样的人身上，那么我的房租就会增加，但我想我还是那样的过，日子会更加拮据，当然也买不起房。第三，如果有一天，我也成为了有钱人，我也能买的起三套，四套，五套，甚至二十套房子的时候，那么我就会极力反对征房地产税，为什么呢？因为我有能力买这么多的房子了，或者说我已经买了这么多的房子，房地产税直接的影响到我的利益了。　　总的看来，我是希望征收的，我宁肯再做一次梦，也比现在不敢做梦强！举报|559楼|打赏|回复|评论|赞
　　三分到手来自天涯社区客户端|举报|562楼|打赏|回复|评论|赞
　　三分到手来自天涯社区客户端|举报|563楼|打赏|回复|评论|赞
　　三分到手来自天涯社区客户端|举报|564楼|打赏|回复|评论|赞
　　房产税是不可能抑制房价的，收上去的税款是不可能完全用于建公屋的，建好的公屋也是不可能完全给低保户用的，调控了这么多年，现状是穷人更穷，富人更富。工薪族好不容易背着巨债享受下生活，各种苛捐杂税又狠狠的砸下来……算了，大家都别吵了，说什么也改变不了天朝的决定，就让暴风雨来的更猛烈些吧！！我们是最弱小而又最大无畏的天朝p民！来自天涯社区客户端|举报|565楼|打赏|回复|评论|赞
　　。。。来自天涯社区客户端|举报|567楼|打赏|回复|评论|赞
　　大家注意这个什么贱的发言，仔细想一下就会明白了，对于房产税无疑是加重了老百姓的负担，这点他一直没有正面回答，说明他是默认加税是加重负担的，这点毋庸置疑，至于他说什么只对富人收不对穷人收云云，只是他理想化的状态，而并没有得到实现，至于什么取之于民用之于民，更是没有任何证据。就好比我从你身上拿了100元，最后给你买了根冰棍，这就叫取之于民用之于民。也就是说这个人所说的房产税带来的好处都是未来才能体现的，当然能不能体现要收了才知道，而且没作用也不一定会取消。也可能无下文，反正先收再说。举报|568楼|打赏|回复|评论|赞
　　烧饼何其多，lz排第一来自天涯社区客户端|举报|569楼|打赏|回复|评论|赞
　　这海岛论剑是哪儿来的傻逼啊？对理性的分析完全不动脑筋的一概反驳，你他妈动动脑筋好不好来自天涯社区客户端|举报|570楼|打赏|回复|评论|赞
　　1；呼吁；房产税从第二套开始起收，第二套5%，第三套10%，第四套20%，第五套40%，第六套80%，第七套120%，以此类推，第十套960%。看你炒房的有10套房子的怎么艹。。。艹。。。　　艹　　　　2；建议，建议，从第二套房起（开始征收房产税清算；（银行骗贷行为；导致公共金融安全罪）第三套房必须全款补齐），银行不提供按揭。炒房的都用现金去炒吧，亏了全亏自己的。　　3;（公平）0套房补费，1套房免税！2套房征税！！3套房翻倍！！！4套房定罪！！！！5套房让他残废！！！！！举报|571楼|打赏|回复|评论|赞
"　　一大批炒房的人,上千万的房产,有多少在乎一年几万的房产税呢?大部了租金涨呗,那么多住公家房的怎么会在乎那几百每月呢??所以伤害的还是改善型的居多阿~调控到现在,我所在的地段没什么作用,而且流通的好房子越来越少!还有就是100万买进的房子,除非特殊情况,否则低于105万没有人卖的!!来个政策,人家炒房的大部分一次性付款,反而首套的成本增加了!!所以,税费真的伤人筋骨的还是中下层!!来自天涯社区客户端|举报|572楼|打赏|回复|评论|赞"
"　　一大批炒房的人,上千万的房产,有多少在乎一年几万的房产税呢?大部了租金涨呗,那么多住公家房的怎么会在乎那几百每月呢??所以伤害的还是改善型的居多阿~调控到现在,我所在的地段没什么作用,而且流通的好房子越来越少!还有就是100万买进的房子,除非特殊情况,否则低于105万没有人卖的!!来个政策,人家炒房的大部分一次性付款,反而首套的成本增加了!!所以,税费真的伤人筋骨的还是中下层!!来自天涯社区客户端|举报|573楼|打赏|回复|评论|赞"
　　税托这点我赞同来自天涯社区客户端|举报|574楼|打赏|回复|评论|赞
　　房税会打压房价。因为那是第一大税，可能会超过增值税，查当于所有人交的税番一倍，所有经济形式全部受到冲击。国富民穷。来自天涯社区客户端|举报|575楼|打赏|回复|评论|赞
"　　LZ,5毛痕迹太tm明显啦　　举报|576楼|打赏|回复|评论|赞"
　　房价真要降，政府应先从自己作起，把土地价格和税费降下来！！！！　　　　还要加税才会降？什么逻辑？　　　　　　要想猪肉降，就鼓励多养猪，如果每头猪加一万块钱税，猪肉多少钱一斤？　　　　如果每棵大蒜加一万块钱税，大蒜多少钱一斤？　　　　咦？黄金涨了。快加税！　　　　咦？绿豆又涨了，太好了!快加税！　　　　听说白糖减产了，可能被炒-涨价，嗯，要早点加税。　　　　哦，还有帮开发商建房的农民工，帮凶！加他们的劳务税！　　　　　　Oy!人口也涨了！又要吃粮又要住房！推高粮价房价！祸根？加收人头税！　　　　Tmd，清朝有个皇帝对他儿子说“永不加税”害得老子好久没收了！　　　　现在机会真好啊，好多百姓自己要加。　　　　　　什么东西涨价，我们就狠狠的加税。　　　　降下来了我们也不减税！万一又涨了怎么办？　　　　哦——万税，万税，万万税！　　举报|577楼|打赏|回复|评论|赞
　　　　建议：“在征房产税的同时，发放贫民住房补贴。”　　　　　　关于征收房产税的问题，目前社会上己传得沸沸扬扬，在不同人群中，产生不小的争议。如处理不当不仅违背征税之初衷，还不利于社会和谐。我建议：在收征房产税的同时，给全民发放住房补贴。这也许是个较好的选择，也是一种有效而可行的方法。办法是：　　　　　　1.根据房产登记的市值（市场评估价），按规定税率向业主征收房产税。而房产市值和税率应根据房产市场变化每年调整一次。既要适度又要有效，既要公平又要合理。　　　　　　2.向全体公民发放住房补帖。发放额度根据公民户口所在地的房价和经济水平决定，由当地政府从所收得的房产税中取得并发给当地居民。这是取之于民、用之于民。　　　　　　之所以采取这二项措施，我的理由是：　　　　　　A.土地是公共资源，应归全民所有。公民有平等居住权，政府从土地出让的收入中，为百姓提供住房补贴，是为公民实现居住权所做的服务，这是服务政府的职责和义务。同时也避免了部分低收入者丧失这一本该有的居住权，有利于实现社会公平。　　　　　　B.高收入者要求占有更多的住房和与之相连的土地及生存空间，必须付出更高昂的成本为代价。所以土地出让金应当较高，商品房具有商品属性，应按市场规则定价。没有打压的必要。　　　　　　3.政府应更多的建造低标准的廉租房和不同标准层次的公共租赁房，让低收入者用住房补贴金去租住廉租房，而中等收入者根据各自经济能力，选择租住不同品质的公共租赁房。　　　　　　4.所谓的有自有产权的经济适用房，并不符合商品属性，同质不同价将直接违反市场的公平原则，在市场经济的社会中没有合法性，可能会造成新的社会不公。建议改为建造不同等级标准的商品房，供不同经济能力的公民购买。　　　　　　5.由于有了住房补贴，对于目前己购买了商品房的公民而言，具有了适度调节。对拥有合理住房居住面积者，交纳的房产税与收入的补贴应当相抵冲，超标者须额外多支出费用，未达标者就有节余可助其改善居住条件。各得其所，社会和谐。这也许可避免社会冲突，从而减小改革阻力。　　　　　　6.对抄房者而言，将因要承受高额房产税而受备受打击。只要设计税率恰当，使持有过多房产者得不偿失，自然抄不起来了。此外，增加流转成本，打击投机抄作，同时更重要的是增加市场供给，才能从根本上平抑房价，使之回归合理。而高价豪宅本来就与百姓无关，反而有利于多征房产税，不必打压。　　　　　　7.流动人员住房补贴在户藉所在由当地政府按当地标准发放，而房产税按房产所在地标准交纳。这可促使流动人员量力而行，为获得更高收入流入大城市的人必然要付出更多居住成本，这很正常，无可指责。　　　　　　8.住房具有保值功能，就长期而言，无论那国，由于物价趋涨，货币实际上是永远在贬值的。在我国尚缺乏健全的社会保障体制的情况下，部分公民为保障不可予测的未来养老所需，选择适量购房保值，不乏是正当行为，有利于社会稳定，有益于城市发展繁荣，促进经济建设。根据自身经济能力购买适度超出自住需求的房产也是一种合理消费或长期投资，这有别于市场抄作的投机行为，政府应当允许甚至鼓励公民适度投资房产。藏富于民，才是上策。总不能要求百姓将余款都投入充满投机性的股市，或全部存入处于负利率的银行吧？仇富不可取。对这部分人应当保护而不是打击。　　　　　　9.因为这是社会公益性改革，政府在这项改革中不应获得额外的经济利益，原则上所收取的房产税应全额用于发放住房补贴。　　　　　　这一建议是否有可取之处？供有关部门参考。　　举报|579楼|打赏|回复|评论|赞
　　牛刀，你炒股吗？你要炒股，肯定是股神！　　肯定会大跌，那你把你家的房子赶快抛了吧！　　不过，既然股神说了，肯定会大跌，那谁会来买你家的房子呢？　　所以买不到也卖不出，价还是那个价，没有成交量啊。　　　　当然，你不是股神！　　当然，不可能所有人都把你当股神！　　当然，可能会涨也可能会跌，有人猜对也会有人猜错！　　当然，看涨看跌，信你不信你，都是每个人的自由！　　　　当然，我会自己选择，并接受最终的结果，　　这很公平！何必怨天尤人！　　　　我只是不喜欢有人学着股神的语气说话！　　你发表你的意见，应该受到尊重　　别人会参考你的意见　　但不要教大家都怎么样　　我们会自己选择，并接受最终的结果！　　　　　　跌多少算大跌啊？10％？20％？50％？　　有人会在跌10％的时候买　　有人会在跌20％的时候买　　有人会等着跌80％　　有人会现在就买　　有人会一辈子都不买　　　　　　什么人都会有的，不是吗？　　正如这世上　　永远都有富人和穷人　　生活舒适和抱怨不得志的人　　什么人都会有的，不是吗？　　　　涨了就涨了，跌了就跌了　　买得起就买，买不起就不买　　拜托看开点　　整天骂这骂那，亡d亡g的　　至于吗？　　这么着急干吗？这么愤恨干吗？　　急着想买又买不起？　　　　　　一定要让房价跌到你买得起吗？　　你是谁啊？　　每年建的商品房只能满足2％的人购买，你不知道吗？　　你不是这2％的人之内，就不要穷叫唤了，丢人！　　说实话，我也不是这2％之内的人　　北京上海几百上千万的房子我也买不起　　可我不眼红也不生气　　现在过的挺好的　　　　呼吁国家多建保障房，　　开发商多建商品房吧！　　呼吁税费多降点吧，　　盼望每年建的商品房能满足5％的人购买吧　　努力争取让自己成为这5％的人吧！　　　　把希望寄托在国家强行打压自己买不起的商品价格上　　即脑残又不要脸！　　　　哈哈，有人买的起，不用担心的。　　不准生气哦————哈哈哈　　　　　　举报|580楼|打赏|回复|评论|赞
　　个人觉得房价会在未来20年左右下跌，任何商品随着时间的推移都是贬值的（除非是古董一类的另谈）房子说白了就是一堆沙石砖瓦，值不了多少钱，七十年的房龄过了二十几年还剩多少？看上去也很旧了，要买的话也买比较新的旧房买的人不会多了自然就会贬值举报|581楼|打赏|回复|评论|赞
　　睡前来检查此贴。发现我们那把伟哥当饭吃的海岛居然那么早就歇息了。好生失望啊。举报|585楼|打赏|回复|评论|赞
　　天朝万税万税万万税，我等屁民应齐声高喊万税，汽车车船税燃油税过路费过桥费社会抚养费教育附加费印花税…裆万税万税！来自天涯社区客户端|举报|586楼|打赏|回复|评论|赞
　　海岛论剑就是一五毛，SB，托！你他妈的出门就应该让李刚撞死那样世界就清静了来自天涯社区客户端|举报|587楼|打赏|回复|评论|赞
　　该不该征收要看房产税细则，房产税只是种调节手段，没看到细则前空谈没用，说不定对普通老百姓打击更大来自天涯社区客户端|举报|588楼|打赏|回复|评论|赞
　　左税右税，实在想知道政府拿着钱干吗去了？　　　　★发自天涯专用iPhone软件-百读不倦举报|590楼|打赏|回复|评论|赞
"　　海岛论剑是明白人,我支持你.有些人故意混淆视听,拉广大一套房自住的群众下水,制造收税加大人民群众负担的说法.对政府出台房产税施加舆论影响.　　其实海岛论剑前面已经讲的很清楚,国家通过税收调节贫富差距,向富人收取更多的税费,用于改善社会中下层百姓的生活,很多国家都是这么做的,当然政府是不是真的把征来的税都真正用于民生那是另外一回事了.只要国家真的是要通过税收达到这个目的,房产税就是个很好的契机.　　而且区分富人,炒房客的方法很简单:家庭(配偶.未成年子女)一套房不收税.超过140平米或二套开始征税.税费随套数增多阶梯性大幅增加.这样既不给广大自住人群增加负担,也能精确打击到屯房炒房的人.当然富人你有钱拥有多套住房那是你的事情,只要你交的起税你就拿着,这跟你用奢侈品多交税钱一个道理.　　举报|591楼|打赏|回复|评论|赞"
　　曲解政策的本意，　　　　现在我们的问题是，怎么想办法，好经别让坏和尚和傻和尚给念歪了。　　　　但是经肯定是好的。　　　　脑子用的都不是地方，唯恐天下不乱。举报|592楼|打赏|回复|评论|赞
　　我有一点不大明白，都说房产税是种财产税，那到底是对地上建筑征税呢还是建筑加土地？如果是按建筑本身来算的话那根据房价来定税率肯定是不对的，房价中包含了土地出让金以及各种杂税了。如果是对建筑加土地一起征税，那我就更糊涂了，这不是税上加税么？土地又不是我的，是国家的。哪有见过让民众为国有资产缴个人财产税的？来自天涯社区客户端|举报|593楼|打赏|回复|评论|赞
　　有钱就移民…来自天涯社区客户端|举报|594楼|打赏|回复|评论|赞
　　　　　　作者：海岛论剑　回复日期：2010-12-08　21:28:21　　　　　　　70年的期限的做法是跟香港学的，预售制也是跟香港学的，实际上并不适合国情。土地期限用在商业用地上还可以，用在住宅上根本是无用的，终成摆设。国人也都清楚这一点，否则就不会花那么多钱买商品房了。你所说的拆迁自焚的大部分是索取超额补偿的钉子户，不足为据。　　　　你所说的拆迁自焚的大部分是索取超额补偿的钉子户，不足为据。　　　　　　　　作者：海岛论剑发表日期：2010-12-821:42:00　　　　唉，今天舌战群雄，终立不败之地，有点累了，暂且歇息了！明天见！　　　　----------------------------------------　　　　海岛，你的表现有点过了。凭你自认为的智慧，其实你应该了解中国问题的本质，也洞悉房子问题的本质。所以，没必要去冒充什么无房阶级，假扮为民请命；也没必要在网络上进行自我满足。　　　　说白了，说你是税托那是过了，但你缺的也许不是智慧（那是你一直自以为傲的），而是心灵。你真实的身份应该是“帮办”或者“帮闲”，为你感到遗憾。　　　　有本不能出版的书叫《奇迹的黄昏》，建议你找来看看。举报|595楼|打赏|回复|评论|赞
　　海岛，你到底了解这个社会多少？真实而残酷荒诞的一面你知道多少？如果有财有闲就请你为身边人做点实在的善事，而不需要在这里大言不惭，谢谢！　　　　我不是什么马甲，只是看了你的言论，特注册上来，冲撞之处请原谅。举报|596楼|打赏|回复|评论|赞
　　国家就买房热都会捞一笔，受伤的是老百姓啊！来自天涯社区客户端|举报|597楼|打赏|回复|评论|赞
